秘籍1	秘籍2	秘籍3	秘籍4	秘籍5	基础成功率a	大人生果系数b	千年人生果系数c	成功获得	失败获得1	概率	失败获得2	概率	失败获得3	概率	失败获得4	概率	失败获得5	概率
					7500	20	140	0,112,224	0,112,158	5000	0,107,157	3000	0,112,225	500	0,112,226	1500		
0,112,78	0,107,155				3000	20	140	0,112,224	0,112,78	4000	0,107,155	3000	0,112,225	1000	0,112,226	2000		
0,112,225	0,112,226				5000	20	140	0,112,224	0,112,225	4000	0,112,226	4000	0,112,78	1500	0,107,155	500		
0,107,51	0,107,52	0,107,53	0,107,54		0	20	140	0,112,224	0,107,51	2500	0,107,52	2500	0,107,53	2500	0,107,54	2500		
0,107,55	0,107,56	0,107,57	0,107,58		0	20	140	0,112,224	0,107,55	2500	0,107,56	2500	0,107,57	2500	0,107,58	2500		
0,107,59	0,107,60	0,107,64	0,107,65	0,107,66	500	20	140	0,112,224	0,107,59	2000	0,107,60	2000	0,107,64	2000	0,107,65	2000	0,107,66	2000
0,112,78	0,107,166	0,107,1	0,107,2		3000	20	140	0,112,224	0,112,78	4000	0,107,166	1500	0,112,226	2500	0,112,225	2000		
0,112,78	0,107,167	0,107,3	0,107,4		3000	20	140	0,112,224	0,112,78	4000	0,107,167	1500	0,112,226	2500	0,112,225	2000		
0,112,78	0,107,168	0,107,5	0,107,6		3000	20	140	0,112,224	0,112,78	4000	0,107,168	1500	0,112,226	2500	0,112,225	2000		
0,112,78	0,107,169	0,107,7	0,107,8		3000	20	140	0,112,224	0,112,78	4000	0,107,169	1500	0,112,226	2500	0,112,225	2000		
0,112,78	0,107,170	0,107,9	0,107,10		3000	20	140	0,112,224	0,112,78	4000	0,107,170	1500	0,112,226	2500	0,112,225	2000		
0,112,78	0,107,171	0,107,11	0,107,12		3000	20	140	0,112,224	0,112,78	4000	0,107,171	1500	0,112,226	2500	0,112,225	2000		
0,112,78	0,107,172	0,107,13	0,107,14		3000	20	140	0,112,224	0,112,78	4000	0,107,172	1500	0,112,226	2500	0,112,225	2000		
0,112,78	0,107,173	0,107,15	0,107,16		3000	20	140	0,112,224	0,112,78	4000	0,107,173	1500	0,112,226	2500	0,112,225	2000		
0,112,78	0,107,174	0,107,17	0,107,18		3000	20	140	0,112,224	0,112,78	4000	0,107,174	1500	0,112,226	2500	0,112,225	2000		
0,112,78	0,107,175	0,107,19	0,107,20		3000	20	140	0,112,224	0,112,78	4000	0,107,175	1500	0,112,226	2500	0,112,225	2000		
0,112,78	0,107,176	0,107,21	0,107,22		3000	20	140	0,112,224	0,112,78	4000	0,107,176	1500	0,112,226	2500	0,112,225	2000		
0,112,78	0,107,177	0,107,23	0,107,24		3000	20	140	0,112,224	0,112,78	4000	0,107,177	1500	0,112,226	2500	0,112,225	2000		
0,112,78	0,107,178	0,107,25	0,107,26		3000	20	140	0,112,224	0,112,78	4000	0,107,178	1500	0,112,226	2500	0,112,225	2000		
0,112,78	0,107,179	0,107,27	0,107,28		3000	20	140	0,112,224	0,112,78	4000	0,107,179	1500	0,112,226	2500	0,112,225	2000		
0,112,78	0,107,198	0,107,180	0,107,181		3000	20	140	0,112,224	0,112,78	4000	0,107,198	1500	0,112,226	2500	0,112,225	2000		
0,112,78	0,107,199	0,107,182	0,107,183		3000	20	140	0,112,224	0,112,78	4000	0,107,199	1500	0,112,226	2500	0,112,225	2000		
0,112,78	0,107,200	0,107,184	0,107,185		3000	20	140	0,112,224	0,112,78	4000	0,107,200	1500	0,112,226	2500	0,112,225	2000		
0,112,78	0,107,201	0,107,186	0,107,187		3000	20	140	0,112,224	0,112,78	4000	0,107,201	1500	0,112,226	2500	0,112,225	2000		
0,112,78	0,107,202	0,107,188	0,107,189		3000	20	140	0,112,224	0,112,78	4000	0,107,202	1500	0,112,226	2500	0,112,225	2000		
